Symbol,Security,GICS_Sector,GICS_Sub_Industry,City,State,CIK,Latitude,Longitude
CARR,Carrier Global,Industrials,Building Products,Palm Beach Gardens, Florida,1783180,26.8418256,-80.13590695
CTLT,Catalent,Health Care,Pharmaceuticals,Somerset, New Jersey,1596783,51.16175085,-3.075386706
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,Deerfield, Illinois,18230,42.1711365,-87.8445119
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,Chicago, Illinois,1374310,41.8755616,-87.6244212
CBRE,CBRE Group,Real Estate,Real Estate Services,Los Angeles, California,1138118,34.0536909,-118.2427666
CDW,CDW,Information Technology,Technology Distributors,Lincolnshire, Illinois,1402057,53.1823034,-0.203120854
CE,Celanese,Materials,Specialty Chemicals,Irving, Texas,1306830,32.8295183,-96.9442177
CNC,Centene Corporation,Health Care,Managed Health Care,St. Louis, Missouri,1071739,38.6529545,-90.24111656
CNP,CenterPoint Energy,Utilities,Multi-Utilities,Houston, Texas,1130310,29.7589382,-95.3676974
CERN,Cerner,Health Care,Health Care Technology,North Kansas City, Missouri,804753,39.1432057,-94.5733988
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,Deerfield, Illinois,1324404,42.1711365,-87.8445119
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,San Francisco, California,316709,37.7790262,-122.4199061
CHTR,Charter Communications,Communication Services,Cable & Satellite,Stamford, Connecticut,1091667,41.0534302,-73.5387341
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,San Ramon, California,93410,41.7253374,1.363189
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,Newport Beach, California,1058090,33.6170092,-117.9294401
CB,Chubb Limited,Financials,Property & Casualty Insurance,Zurich, Switzerland,896159,47.3723941,8.5423328
CHD,Church & Dwight,Consumer Staples,Household Products,Ewing, New Jersey,313927,38.0886603,-88.852287
CI,CIGNA Corp.,Health Care,Managed Health Care,Bloomfield, Connecticut,1739940,40.7516884,-92.4149074
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,Fairfield, Ohio,20286,39.7886111,-82.6418883
CTAS,Cintas Corporation,Industrials,Diversified Support Services,Mason, Ohio,723254,30.705029,-99.2233284
CSCO,Cisco Systems,Information Technology,Communications Equipment,San Jose, California,858877,37.3361905,-121.8905833
C,Citigroup Inc.,Financials,Diversified Banks,New York, New York,831001,40.7127281,-74.0060152
CFG,Citizens Financial Group,Financials,Regional Banks,Providence, Rhode Island,759944,41.8239891,-71.4128343
CTXS,Citrix Systems,Information Technology,Application Software,Fort Lauderdale, Florida,877890,26.1223084,-80.1433786
CLX,The Clorox Company,Consumer Staples,Household Products,Oakland, California,21076,37.8044557,-122.2713563
CME,CME Group Inc.,Financials,Financial Exchanges & Data,Chicago, Illinois,1156375,41.8755616,-87.6244212
CMS,CMS Energy,Utilities,Multi-Utilities,Jackson, Michigan,811156,32.2990384,-90.1847691
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,Atlanta, Georgia,21344,33.7490987,-84.3901849
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,Teaneck, New Jersey,1058290,40.8860164,-74.0072568
CL,Colgate-Palmolive,Consumer Staples,Household Products,New York, New York,21665,40.7127281,-74.0060152
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,Philadelphia, Pennsylvania,1166691,39.9527237,-75.1635262
CMA,Comerica Inc.,Financials,Diversified Banks,Dallas, Texas,28412,32.7762719,-96.7968559
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,Chicago, Illinois,23217,41.8755616,-87.6244212
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,Midland, Texas,1358071,31.9973662,-102.0779482
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,Houston, Texas,1163165,29.7589382,-95.3676974
ED,Consolidated Edison,Utilities,Electric Utilities,New York, New York,1047862,40.7127281,-74.0060152
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,Victor, New York,16918,41.7316675,-92.2979615
COO,The Cooper Companies,Health Care,Health Care Supplies,San Ramon, California,711404,41.7253374,1.363189
CPRT,Copart Inc,Industrials,Diversified Support Services,Dallas, Texas,900075,32.7762719,-96.7968559
GLW,Corning Inc.,Information Technology,Electronic Components,Corning, New York,24741,42.1435257,-77.0543408
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,Wilmington, Delaware,1755672,39.7459468,-75.546589
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,Issaquah, Washington,909832,47.5348778,-122.0432974
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,Houston, Texas,1051470,29.7589382,-95.3676974
CSX,CSX Corp.,Industrials,Railroads,Jacksonville, Florida,277948,30.3321838,-81.655651
CMI,Cummins Inc.,Industrials,Industrial Machinery,Columbus, Indiana,26172,39.9622601,-83.0007065
CVS,CVS Health,Health Care,Health Care Services,Woonsocket, Rhode Island,64803,42.0028761,-71.5147839
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,Fort Worth, Texas,882184,32.753177,-97.3327459
DHR,Danaher Corp.,Health Care,Health Care Equipment,Washington, D.C.,313616,38.89366125,-76.98788325
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,Orlando, Florida,940944,28.5421109,-81.3790304
DVA,DaVita Inc.,Health Care,Health Care Facilities,Denver, Colorado,927066,39.7392364,-104.9848623
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,Moline, Illinois,315189,41.5067003,-90.5151342
DAL,Delta Air Lines Inc.,Industrials,Airlines,Atlanta, Georgia,27904,33.7490987,-84.3901849
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,Charlotte, North Carolina,818479,35.2272,-80.843083
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,Oklahoma City, Oklahoma,1090012,35.4729886,-97.5170536
DXCM,DexCom,Health Care,Health Care Equipment,San Diego, California,1093557,32.7174209,-117.1627714
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,Midland, Texas,1539838,31.9973662,-102.0779482
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,San Francisco, California,1297996,37.7790262,-122.4199061
DFS,Discover Financial Services,Financials,Consumer Finance,Riverwoods, Illinois,1393612,42.1676068,-87.8970986
DISCA,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,Silver Spring, Maryland,1437107,38.9959461,-77.0276231
DISCK,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,Silver Spring, Maryland,1437107,38.9959461,-77.0276231
DISH,Dish Network,Communication Services,Cable & Satellite,Meridian, Colorado,1001082,32.3643098,-88.703656
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,Goodlettsville, Tennessee,29534,36.3349115,-86.70533913
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,Chesapeake, Virginia,935703,36.7183708,-76.2466798
D,Dominion Energy,Utilities,Electric Utilities,Richmond, Virginia,715957,37.5385087,-77.43428
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,Ann Arbor, Michigan,1286681,42.2681569,-83.7312291
DOV,Dover Corporation,Industrials,Industrial Machinery,Downers Grove, Illinois,29905,41.7936822,-88.0102281
DOW,Dow Inc.,Materials,Commodity Chemicals,Midland, Michigan,1751788,31.9973662,-102.0779482
DTE,DTE Energy Co.,Utilities,Multi-Utilities,Detroit, Michigan,936340,42.3315509,-83.0466403
DUK,Duke Energy,Utilities,Electric Utilities,Charlotte, North Carolina,1326160,35.2272,-80.843083
DRE,Duke Realty Corp,Real Estate,Industrial REITs,Indianapolis, Indiana,783280,39.7683331,-86.1583502
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,Midland, Michigan,1666700,31.9973662,-102.0779482
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,Tysons Corner, Virginia,1688568,38.916509,-77.22578585
EMN,Eastman Chemical,Materials,Diversified Chemicals,Kingsport, Tennessee,915389,36.550238,-82.5594293
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,Dublin, Ireland,1551182,53.3497645,-6.2602732
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,San Jose, California,1065088,37.3361905,-121.8905833
ECL,Ecolab Inc.,Materials,Specialty Chemicals,St. Paul, Minnesota,31462,44.9504037,-93.1015026
EIX,Edison Int'l,Utilities,Electric Utilities,Rosemead, California,827052,34.0676169,-118.0879763
EW,Edwards Lifesciences,Health Care,Health Care Equipment,Irvine, California,1099800,33.6856969,-117.8259819
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,Redwood City, California,712515,37.4863239,-122.232523
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,Ferguson, Missouri,32604,38.744707,-90.3038975
ETR,Entergy Corp.,Utilities,Electric Utilities,New Orleans, Louisiana,65984,29.9499323,-90.0701156
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,Houston, Texas,821189,29.7589382,-95.3676974
EFX,Equifax Inc.,Industrials,Research & Consulting Services,Atlanta, Georgia,33185,33.7490987,-84.3901849
EQIX,Equinix,Real Estate,Specialized REITs,Redwood City, California,1101239,37.4863239,-122.232523
EQR,Equity Residential,Real Estate,Residential REITs,Chicago, Illinois,906107,41.8755616,-87.6244212
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,San Mateo, California,920522,37.496904,-122.3330573
EL,Estée Lauder Companies,Consumer Staples,Personal Products,New York, New York,1001250,40.7127281,-74.0060152
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,Brooklyn, New York,1370637,40.6501038,-73.9495823
EVRG,Evergy,Utilities,Electric Utilities,Kansas City, Missouri,1711269,39.100105,-94.5781416
ES,Eversource Energy,Utilities,Multi-Utilities,Springfield, Massachusetts,72741,39.7990175,-89.6439575
RE,Everest Re Group Ltd.,Financials,Reinsurance,Hamilton, Bermuda,1095073,43.2560802,-79.8728583
EXC,Exelon Corp.,Utilities,Multi-Utilities,Chicago, Illinois,1109357,41.8755616,-87.6244212
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle, Washington,1324424,47.6038321,-122.3300624
EXPD,Expeditors,Industrials,Air Freight & Logistics,Seattle, Washington,746515,47.6038321,-122.3300624
EXR,Extra Space Storage,Real Estate,Specialized REITs,Salt Lake City, Utah,1289490,40.7596198,-111.8867975
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,Irving, Texas,34088,32.8295183,-96.9442177
